x: 5 | y: 4 | z: 6 - 0.064493
x: 6 | y: 4 | z: 6 - 0.073365
x: 7 | y: 4 | z: 6 - 0.156119
x: 8 | y: 4 | z: 6 - 0.317611
x: 9 | y: 4 | z: 6 - 0.613637
x: 0 | y: 4 | z: 7 - 0.644809
x: 1 | y: 4 | z: 7 - 0.373912
x: 2 | y: 4 | z: 7 - 0.219543
x: 3 | y: 4 | z: 7 - 0.147726
x: 4 | y: 4 | z: 7 - 0.133995
x: 5 | y: 4 | z: 7 - 0.125541
x: 6 | y: 4 | z: 7 - 0.156119
x: 7 | y: 4 | z: 7 - 0.216899
x: 8 | y: 4 | z: 7 - 0.376528
x: 9 | y: 4 | z: 7 - 0.644563
x: 0 | y: 4 | z: 8 - 0.716741
x: 1 | y: 4 | z: 8 - 0.500697
x: 2 | y: 4 | z: 8 - 0.373911
x: 3 | y: 4 | z: 8 - 0.320242
x: 4 | y: 4 | z: 8 - 0.299381
x: 5 | y: 4 | z: 8 - 0.304262
x: 6 | y: 4 | z: 8 - 0.317611
x: 7 | y: 4 | z: 8 - 0.376528
x: 8 | y: 4 | z: 8 - 0.500299
x: 9 | y: 4 | z: 8 - 0.717123
x: 0 | y: 4 | z: 9 - 0.839635
x: 1 | y: 4 | z: 9 - 0.716741
x: 2 | y: 4 | z: 9 - 0.644947
x: 3 | y: 4 | z: 9 - 0.612149
x: 4 | y: 4 | z: 9 - 0.603019
x: 5 | y: 4 | z: 9 - 0.601527
x: 6 | y: 4 | z: 9 - 0.613637
x: 7 | y: 4 | z: 9 - 0.644563
x: 8 | y: 4 | z: 9 - 0.717123
x: 9 | y: 4 | z: 9 - 0.839614
x: 0 | y: 5 | z: 0 - 0.839619
x: 1 | y: 5 | z: 0 - 0.716741
x: 2 | y: 5 | z: 0 - 0.644681
x: 3 | y: 5 | z: 0 - 0.612151
x: 4 | y: 5 | z: 0 - 0.602061
x: 5 | y: 5 | z: 0 - 0.601532
x: 6 | y: 5 | z: 0 - 0.612679
x: 7 | y: 5 | z: 0 - 0.644564
x: 8 | y: 5 | z: 0 - 0.716857
x: 9 | y: 5 | z: 0 - 0.839614
x: 0 | y: 5 | z: 1 - 0.716741
x: 1 | y: 5 | z: 1 - 0.500448
x: 2 | y: 5 | z: 1 - 0.373913
x: 3 | y: 5 | z: 1 - 0.318762
x: 4 | y: 5 | z: 1 - 0.299393
x: 5 | y: 5 | z: 1 - 0.301613
x: 6 | y: 5 | z: 1 - 0.317622
x: 7 | y: 5 | z: 1 - 0.375047
x: 8 | y: 5 | z: 1 - 0.500301
x: 9 | y: 5 | z: 1 - 0.716883
x: 0 | y: 5 | z: 2 - 0.644681
x: 1 | y: 5 | z: 2 - 0.373913
x: 2 | y: 5 | z: 2 - 0.218359
x: 3 | y: 5 | z: 2 - 0.147739
x: 4 | y: 5 | z: 2 - 0.130509
x: 5 | y: 5 | z: 2 - 0.125589
x: 6 | y: 5 | z: 2 - 0.152633
x: 7 | y: 5 | z: 2 - 0.216912
x: 8 | y: 5 | z: 2 - 0.375347
x: 9 | y: 5 | z: 2 - 0.644564
x: 0 | y: 5 | z: 3 - 0.612151
x: 1 | y: 5 | z: 3 - 0.318762
x: 2 | y: 5 | z: 3 - 0.147739
x: 3 | y: 5 | z: 3 - 0.079809
x: 4 | y: 5 | z: 3 - 0.049904
x: 5 | y: 5 | z: 3 - 0.061105
